Symbol
3MINDIA
ADANIGREEN
AARTIIND
AMBER
BBTC
BHARATFORG
CGCL
CHOLAHLDNG
CRISIL
DHANI
GMMPFAUDLR
HAL
HAPPSTMNDS
HDFCBANK
HEMIPROP
IDFCFIRSTB
IEX
IGL
IOB
IOC
JBCHEPHARM
JCHAC
JKCEMENT
KRBL
M&MFIN
MAHINDCIE
MINDACORP
MOTHERSUMI
NOCIL
PRINCEPIPE
PRSMJOHNSN
SHREECEM
SKFINDIA
SPARC
TATACHEM
TATACONSUM
TATAMOTORS
TVSMOTOR
VAKRANGEE
WHIRLPOOL
ADANIPORTS
AMBUJACEM
BHARATRAS
CENTRALBK
CYIENT
DABUR
GAEL
GODREJCP
HUHTAMAKI
IRB
JSWENERGY
KNRCON
NATIONALUM
PGHH
RECLTD
SONATSOFTW
STAR
SYMPHONY
TATAPOWER
ULTRACEMCO
YESBANK
ALEMBICLTD
ASTERDM
BHARTIARTL
CCL
CHAMBLFERT
COCHINSHIP
FINCABLES
GESHIP
GICRE
GUJALKALI
HEROMOTOCO
HINDUNILVR
ICICIGI
IIFLWAM
KEC
KSB
MINDAIND
NAUKRI
NBCC
PEL
SIEMENS
SUPRAJIT
SUZLON
TATACOMM
TIMKEN
VAIBHAVGBL
VIPIND
ABFRL
ACC
ASHOKLEY
BALMLAWRIE
BANKBARODA
FINPIPE
FLUOROCHEM
GRASIM
GSPL
GUJGASLTD
HAVELLS
IBULHSGFIN
LALPATHLAB
MHRIL
MIDHANI
NETWORK18
PAGEIND
RITES
SUNDRMFAST
TATASTEEL
TTKPRESTIG
UPL
VARROC
VINATIORGA
VSTIND
VTL
ABCAPITAL
AEGISCHEM
AKZOINDIA
AMARAJABAT
ASTRAZEN
AUROPHARMA
AXISBANK
BALRAMCHIN
BATAINDIA
BDL
BLUESTARCO
BSE
CAMS
CANBK
COROMANDEL
CUMMINSIND
ENDURANCE
FINEORG
GLAXO
GNFC
HDFC
HEG
INDIACEM
JMFINANCIL
LT
MARICO
MPHASIS
OFSS
PERSISTENT
PFIZER
PGHL
POWERGRID
SBIN
SHARDACROP
SHOPERSTOP
SOLARA
SRTRANSFIN
SUNTV
TCIEXP
THERMAX
WIPRO
APLAPOLLO
APLLTD
APOLLOHOSP
BEML
BHEL
CERA
CHALET
DIXON
FSL
GLENMARK
IFBIND
INDIANB
INDUSINDBK
INFY
JAMNAAUTO
JINDALSTEL
JUSTDIAL
L&TFH
LAXMIMACH
MRF
NILKAMAL
OBEROIRLTY
ONGC
PIIND
QUESS
RADICO
REDINGTON
RVNL
SANOFI
SFL
SHILPAMED
SOBHA
STARCEMENT
ADVENZYMES
AFFLE
ALKEM
BANDHANBNK
BLUEDART
DCMSHRIRAM
EMAMILTD
EPL
ESCORTS
FORTIS
GMRINFRA
GREAVESCOT
GRINDWELL
GSFC
HINDZINC
INDHOTEL
INGERRAND
LUXIND
MAHSEAMLES
MCX
NHPC
NMDC
RAYMOND
SCHAEFFLER
SCHNEIDER
STLTECH
SUNTECK
SUPREMEIND
TATAINVEST
TEAMLEASE
TRITURBINE
UJJIVANSFB
WABCOINDIA
BAJAJELEC
BAJAJFINSV
BANKINDIA
CANFINHOME
CARBORUNIV
CENTURYTEX
CHOLAFIN
CIPLA
DBL
DISHTV
EXIDEIND
HFCL
IBREALEST
ICIL
IDBI
IRCON
ISEC
JSL
KOTAKBANK
KSCL
LTI
MANAPPURAM
MARUTI
METROPOLIS
MOTILALOFS
NATCOPHARM
PNB
POWERINDIA
SOLARINDS
TCS
TITAN
UTIAMC
ZEEL
ZENSARTECH
ANGELBRKG
ADANIENT
ASAHIINDIA
AUBANK
BALAMINES
BASF
BPCL
BRITANNIA
CASTROLIND
CDSL
COLPAL
DALBHARAT
EICHERMOT
GALAXYSURF
HDFCAMC
HINDCOPPER
HINDPETRO
HSCL
ICICIPRULI
INFIBEAM
JKTYRE
JTEKTINDIA
JYOTHYLAB
KAJARIACER
MAHABANK
MINDTREE
MOIL
NH
NLCINDIA
POLYCAB
SAIL
SUDARSCHEM
SUVENPHAR
THYROCARE
TIINDIA
TV18BRDCST
UFLEX
UJJIVAN
VGUARD
WELSPUNIND
ASTRAL
ATGL
DEEPAKNTR
DLF
GPPL
ICICIBANK
LAURUSLABS
LEMONTREE
LTTS
MRPL
NAVINFLUOR
PNBHOUSING
RATNAMANI
RELIANCE
SHRIRAMCIT
SUNCLAYLTD
TANLA
TATAMTRDVR
UCOBANK
VMART
WELCORP
ALOKINDS
ASHOKA
ASIANPAINT
BAJAJ-AUTO
BAYERCROP
BSOFT
BURGERKING
CADILAHC
CONCOR
DCAL
DCBBANK
GODREJPROP
GRSE
IDEA
INDOCO
JUBLFOOD
MMTC
