ï»¿"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"SUNPHARMA","EQ","08-Aug-2025","1,598.40","1,590.00","1,602.00","1,580.90","1,587.80","1,586.90","1,588.74","16,54,424","2,62,84,48,657.30","67,799","9,96,419","60.23"
"SUNPHARMA","EQ","11-Aug-2025","1,586.90","1,586.90","1,660.00","1,584.20","1,611.70","1,608.40","1,603.12","11,40,902","1,82,90,07,088.70","66,080","7,19,838","63.09"
"SUNPHARMA","EQ","12-Aug-2025","1,608.40","1,611.70","1,636.70","1,610.10","1,626.50","1,622.20","1,623.85","16,79,088","2,72,65,82,366.20","64,939","10,11,457","60.24"
"SUNPHARMA","EQ","13-Aug-2025","1,622.20","1,624.20","1,643.50","1,617.30","1,640.90","1,639.80","1,634.96","13,13,668","2,14,78,00,640.70","47,081","8,04,014","61.20"
"SUNPHARMA","EQ","14-Aug-2025","1,639.80","1,639.80","1,651.10","1,632.20","1,638.60","1,641.40","1,639.72","17,38,094","2,84,99,89,291.30","60,185","10,66,227","61.34"
